,movie,year,director,star,style,imdb,votes,content,URL,Full URL
10,The Invitation,(II) (2022),Jessica M. Thompson,"Peter Billingsley ,Melinda Dillon ,Darren McGavin ,Scott Schwartz ,Judah Lewis ,Samara Weaving ,Jenna Ortega ,Emily Alyn Lind ,Florence Pugh ,Jack Reynor ,Vilhelm Blomgren ,William Jackson Harper ,Leonardo DiCaprio ,Kate Winslet ,Billy Zane ,Kathy Bates ,Leonardo DiCaprio ,Joseph Gordon-Levitt ,Elliot Page ,Ken Watanabe ,Kevin Spacey ,Annette Bening ,Thora Birch ,Wes Bentley ,Thomasin McKenzie ,Anya Taylor-Joy ,Matt Smith ,Diana Rigg ,Russell Crowe ,Joaquin Phoenix ,Connie Nielsen ,Oliver Reed ,Daniel Radcliffe ,Emma Watson ,Rupert Grint ,Eric Sykes ,Hugh Jackman ,Jake Gyllenhaal ,Viola Davis ,Melissa Leo ,Nathalie Emmanuel ,Thomas Doherty ,Sean Pertwee ,Hugh Skinner ,","
Horror, Thriller            ",5.2,14432,"
A young woman is courted and swept off her feet, only to realize a gothic conspiracy is afoot.",/title/tt12873562/,imdb.com/title/tt12873562/
11,The Matrix,(1999),Lana Wachowski,"Peter Billingsley ,Melinda Dillon ,Darren McGavin ,Scott Schwartz ,Judah Lewis ,Samara Weaving ,Jenna Ortega ,Emily Alyn Lind ,Florence Pugh ,Jack Reynor ,Vilhelm Blomgren ,William Jackson Harper ,Leonardo DiCaprio ,Kate Winslet ,Billy Zane ,Kathy Bates ,Leonardo DiCaprio ,Joseph Gordon-Levitt ,Elliot Page ,Ken Watanabe ,Kevin Spacey ,Annette Bening ,Thora Birch ,Wes Bentley ,Thomasin McKenzie ,Anya Taylor-Joy ,Matt Smith ,Diana Rigg ,Russell Crowe ,Joaquin Phoenix ,Connie Nielsen ,Oliver Reed ,Daniel Radcliffe ,Emma Watson ,Rupert Grint ,Eric Sykes ,Hugh Jackman ,Jake Gyllenhaal ,Viola Davis ,Melissa Leo ,Nathalie Emmanuel ,Thomas Doherty ,Sean Pertwee ,Hugh Skinner ,Lilly Wachowski ,Keanu Reeves ,Laurence Fishburne ,Carrie-Anne Moss ,","
Action, Sci-Fi            ",8.7,1906775,"
When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",/title/tt0133093/,imdb.com/title/tt0133093/
12,A Wounded Fawn,(2022),Travis Stevens,"Peter Billingsley ,Melinda Dillon ,Darren McGavin ,Scott Schwartz ,Judah Lewis ,Samara Weaving ,Jenna Ortega ,Emily Alyn Lind ,Florence Pugh ,Jack Reynor ,Vilhelm Blomgren ,William Jackson Harper ,Leonardo DiCaprio ,Kate Winslet ,Billy Zane ,Kathy Bates ,Leonardo DiCaprio ,Joseph Gordon-Levitt ,Elliot Page ,Ken Watanabe ,Kevin Spacey ,Annette Bening ,Thora Birch ,Wes Bentley ,Thomasin McKenzie ,Anya Taylor-Joy ,Matt Smith ,Diana Rigg ,Russell Crowe ,Joaquin Phoenix ,Connie Nielsen ,Oliver Reed ,Daniel Radcliffe ,Emma Watson ,Rupert Grint ,Eric Sykes ,Hugh Jackman ,Jake Gyllenhaal ,Viola Davis ,Melissa Leo ,Nathalie Emmanuel ,Thomas Doherty ,Sean Pertwee ,Hugh Skinner ,Lilly Wachowski ,Keanu Reeves ,Laurence Fishburne ,Carrie-Anne Moss ,Sarah Lind ,Josh Ruben ,Malin Barr ,Katie Kuang ,","
Horror            ",5.6,682,"
A serial killer brings an unsuspecting new victim on a weekend getaway to add another body to his ever-growing count. She's buying into his faux charms, and he's eagerly lusting for blood. What could possibly go wrong?",/title/tt13434562/,imdb.com/title/tt13434562/
13,Black Swan,(2010),Darren Aronofsky,"Peter Billingsley ,Melinda Dillon ,Darren McGavin ,Scott Schwartz ,Judah Lewis ,Samara Weaving ,Jenna Ortega ,Emily Alyn Lind ,Florence Pugh ,Jack Reynor ,Vilhelm Blomgren ,William Jackson Harper ,Leonardo DiCaprio ,Kate Winslet ,Billy Zane ,Kathy Bates ,Leonardo DiCaprio ,Joseph Gordon-Levitt ,Elliot Page ,Ken Watanabe ,Kevin Spacey ,Annette Bening ,Thora Birch ,Wes Bentley ,Thomasin McKenzie ,Anya Taylor-Joy ,Matt Smith ,Diana Rigg ,Russell Crowe ,Joaquin Phoenix ,Connie Nielsen ,Oliver Reed ,Daniel Radcliffe ,Emma Watson ,Rupert Grint ,Eric Sykes ,Hugh Jackman ,Jake Gyllenhaal ,Viola Davis ,Melissa Leo ,Nathalie Emmanuel ,Thomas Doherty ,Sean Pertwee ,Hugh Skinner ,Lilly Wachowski ,Keanu Reeves ,Laurence Fishburne ,Carrie-Anne Moss ,Sarah Lind ,Josh Ruben ,Malin Barr ,Katie Kuang ,Natalie Portman ,Mila Kunis ,Vincent Cassel ,Winona Ryder ,","
Drama, Thriller            ",8.0,767342,"
A committed dancer struggles to maintain her sanity after winning the lead role in a production of Tchaikovsky's ""Swan Lake"".",/title/tt0947798/,imdb.com/title/tt0947798/
14,Aliens,(1986),James Cameron,"Peter Billingsley ,Melinda Dillon ,Darren McGavin ,Scott Schwartz ,Judah Lewis ,Samara Weaving ,Jenna Ortega ,Emily Alyn Lind ,Florence Pugh ,Jack Reynor ,Vilhelm Blomgren ,William Jackson Harper ,Leonardo DiCaprio ,Kate Winslet ,Billy Zane ,Kathy Bates ,Leonardo DiCaprio ,Joseph Gordon-Levitt ,Elliot Page ,Ken Watanabe ,Kevin Spacey ,Annette Bening ,Thora Birch ,Wes Bentley ,Thomasin McKenzie ,Anya Taylor-Joy ,Matt Smith ,Diana Rigg ,Russell Crowe ,Joaquin Phoenix ,Connie Nielsen ,Oliver Reed ,Daniel Radcliffe ,Emma Watson ,Rupert Grint ,Eric Sykes ,Hugh Jackman ,Jake Gyllenhaal ,Viola Davis ,Melissa Leo ,Nathalie Emmanuel ,Thomas Doherty ,Sean Pertwee ,Hugh Skinner ,Lilly Wachowski ,Keanu Reeves ,Laurence Fishburne ,Carrie-Anne Moss ,Sarah Lind ,Josh Ruben ,Malin Barr ,Katie Kuang ,Natalie Portman ,Mila Kunis ,Vincent Cassel ,Winona Ryder ,Sigourney Weaver ,Michael Biehn ,Carrie Henn ,Paul Reiser ,","
Action, Adventure, Sci-Fi            ",8.4,717241,"
Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators.",/title/tt0090605/,imdb.com/title/tt0090605/
15,Watcher,(I) (2022),Chloe Okuno,"Peter Billingsley ,Melinda Dillon ,Darren McGavin ,Scott Schwartz ,Judah Lewis ,Samara Weaving ,Jenna Ortega ,Emily Alyn Lind ,Florence Pugh ,Jack Reynor ,Vilhelm Blomgren ,William Jackson Harper ,Leonardo DiCaprio ,Kate Winslet ,Billy Zane ,Kathy Bates ,Leonardo DiCaprio ,Joseph Gordon-Levitt ,Elliot Page ,Ken Watanabe ,Kevin Spacey ,Annette Bening ,Thora Birch ,Wes Bentley ,Thomasin McKenzie ,Anya Taylor-Joy ,Matt Smith ,Diana Rigg ,Russell Crowe ,Joaquin Phoenix ,Connie Nielsen ,Oliver Reed ,Daniel Radcliffe ,Emma Watson ,Rupert Grint ,Eric Sykes ,Hugh Jackman ,Jake Gyllenhaal ,Viola Davis ,Melissa Leo ,Nathalie Emmanuel ,Thomas Doherty ,Sean Pertwee ,Hugh Skinner ,Lilly Wachowski ,Keanu Reeves ,Laurence Fishburne ,Carrie-Anne Moss ,Sarah Lind ,Josh Ruben ,Malin Barr ,Katie Kuang ,Natalie Portman ,Mila Kunis ,Vincent Cassel ,Winona Ryder ,Sigourney Weaver ,Michael Biehn ,Carrie Henn ,Paul Reiser ,Maika Monroe ,Karl Glusman ,Burn Gorman ,Tudor Petrut ,","
Drama, Horror, Thriller            ",6.3,24268,"
A young American woman moves with her husband to Bucharest, and begins to suspect that a stranger who watches her from the apartment building across the street may be a local serial killer decapitating women.",/title/tt12004038/,imdb.com/title/tt12004038/
16,Shutter Island,(2010),Martin Scorsese,"Peter Billingsley ,Melinda Dillon ,Darren McGavin ,Scott Schwartz ,Judah Lewis ,Samara Weaving ,Jenna Ortega ,Emily Alyn Lind ,Florence Pugh ,Jack Reynor ,Vilhelm Blomgren ,William Jackson Harper ,Leonardo DiCaprio ,Kate Winslet ,Billy Zane ,Kathy Bates ,Leonardo DiCaprio ,Joseph Gordon-Levitt ,Elliot Page ,Ken Watanabe ,Kevin Spacey ,Annette Bening ,Thora Birch ,Wes Bentley ,Thomasin McKenzie ,Anya Taylor-Joy ,Matt Smith ,Diana Rigg ,Russell Crowe ,Joaquin Phoenix ,Connie Nielsen ,Oliver Reed ,Daniel Radcliffe ,Emma Watson ,Rupert Grint ,Eric Sykes ,Hugh Jackman ,Jake Gyllenhaal ,Viola Davis ,Melissa Leo ,Nathalie Emmanuel ,Thomas Doherty ,Sean Pertwee ,Hugh Skinner ,Lilly Wachowski ,Keanu Reeves ,Laurence Fishburne ,Carrie-Anne Moss ,Sarah Lind ,Josh Ruben ,Malin Barr ,Katie Kuang ,Natalie Portman ,Mila Kunis ,Vincent Cassel ,Winona Ryder ,Sigourney Weaver ,Michael Biehn ,Carrie Henn ,Paul Reiser ,Maika Monroe ,Karl Glusman ,Burn Gorman ,Tudor Petrut ,Leonardo DiCaprio ,Emily Mortimer ,Mark Ruffalo ,Ben Kingsley ,","
Mystery, Thriller            ",8.2,1308798,"
In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.",/title/tt1130884/,imdb.com/title/tt1130884/
17,Ghostbusters,(1984),Ivan Reitman,"Peter Billingsley ,Melinda Dillon ,Darren McGavin ,Scott Schwartz ,Judah Lewis ,Samara Weaving ,Jenna Ortega ,Emily Alyn Lind ,Florence Pugh ,Jack Reynor ,Vilhelm Blomgren ,William Jackson Harper ,Leonardo DiCaprio ,Kate Winslet ,Billy Zane ,Kathy Bates ,Leonardo DiCaprio ,Joseph Gordon-Levitt ,Elliot Page ,Ken Watanabe ,Kevin Spacey ,Annette Bening ,Thora Birch ,Wes Bentley ,Thomasin McKenzie ,Anya Taylor-Joy ,Matt Smith ,Diana Rigg ,Russell Crowe ,Joaquin Phoenix ,Connie Nielsen ,Oliver Reed ,Daniel Radcliffe ,Emma Watson ,Rupert Grint ,Eric Sykes ,Hugh Jackman ,Jake Gyllenhaal ,Viola Davis ,Melissa Leo ,Nathalie Emmanuel ,Thomas Doherty ,Sean Pertwee ,Hugh Skinner ,Lilly Wachowski ,Keanu Reeves ,Laurence Fishburne ,Carrie-Anne Moss ,Sarah Lind ,Josh Ruben ,Malin Barr ,Katie Kuang ,Natalie Portman ,Mila Kunis ,Vincent Cassel ,Winona Ryder ,Sigourney Weaver ,Michael Biehn ,Carrie Henn ,Paul Reiser ,Maika Monroe ,Karl Glusman ,Burn Gorman ,Tudor Petrut ,Leonardo DiCaprio ,Emily Mortimer ,Mark Ruffalo ,Ben Kingsley ,Bill Murray ,Dan Aykroyd ,Sigourney Weaver ,Harold Ramis ,","
Action, Comedy, Fantasy            ",7.8,416775,"
Three parapsychologists forced out of their university funding set up shop as a unique ghost removal service in New York City, attracting frightened yet skeptical customers.",/title/tt0087332/,imdb.com/title/tt0087332/
18,Prometheus,(I) (2012),Ridley Scott,"Peter Billingsley ,Melinda Dillon ,Darren McGavin ,Scott Schwartz ,Judah Lewis ,Samara Weaving ,Jenna Ortega ,Emily Alyn Lind ,Florence Pugh ,Jack Reynor ,Vilhelm Blomgren ,William Jackson Harper ,Leonardo DiCaprio ,Kate Winslet ,Billy Zane ,Kathy Bates ,Leonardo DiCaprio ,Joseph Gordon-Levitt ,Elliot Page ,Ken Watanabe ,Kevin Spacey ,Annette Bening ,Thora Birch ,Wes Bentley ,Thomasin McKenzie ,Anya Taylor-Joy ,Matt Smith ,Diana Rigg ,Russell Crowe ,Joaquin Phoenix ,Connie Nielsen ,Oliver Reed ,Daniel Radcliffe ,Emma Watson ,Rupert Grint ,Eric Sykes ,Hugh Jackman ,Jake Gyllenhaal ,Viola Davis ,Melissa Leo ,Nathalie Emmanuel ,Thomas Doherty ,Sean Pertwee ,Hugh Skinner ,Lilly Wachowski ,Keanu Reeves ,Laurence Fishburne ,Carrie-Anne Moss ,Sarah Lind ,Josh Ruben ,Malin Barr ,Katie Kuang ,Natalie Portman ,Mila Kunis ,Vincent Cassel ,Winona Ryder ,Sigourney Weaver ,Michael Biehn ,Carrie Henn ,Paul Reiser ,Maika Monroe ,Karl Glusman ,Burn Gorman ,Tudor Petrut ,Leonardo DiCaprio ,Emily Mortimer ,Mark Ruffalo ,Ben Kingsley ,Bill Murray ,Dan Aykroyd ,Sigourney Weaver ,Harold Ramis ,Noomi Rapace ,Logan Marshall-Green ,Michael Fassbender ,Charlize Theron ,","
Adventure, Mystery, Sci-Fi            ",7.0,611140,"
Following clues to the origin of mankind, a team finds a structure on a distant moon, but they soon realize they are not alone.",/title/tt1446714/,imdb.com/title/tt1446714/
19,Spirited Away,(2001),Hayao Miyazaki,"Peter Billingsley ,Melinda Dillon ,Darren McGavin ,Scott Schwartz ,Judah Lewis ,Samara Weaving ,Jenna Ortega ,Emily Alyn Lind ,Florence Pugh ,Jack Reynor ,Vilhelm Blomgren ,William Jackson Harper ,Leonardo DiCaprio ,Kate Winslet ,Billy Zane ,Kathy Bates ,Leonardo DiCaprio ,Joseph Gordon-Levitt ,Elliot Page ,Ken Watanabe ,Kevin Spacey ,Annette Bening ,Thora Birch ,Wes Bentley ,Thomasin McKenzie ,Anya Taylor-Joy ,Matt Smith ,Diana Rigg ,Russell Crowe ,Joaquin Phoenix ,Connie Nielsen ,Oliver Reed ,Daniel Radcliffe ,Emma Watson ,Rupert Grint ,Eric Sykes ,Hugh Jackman ,Jake Gyllenhaal ,Viola Davis ,Melissa Leo ,Nathalie Emmanuel ,Thomas Doherty ,Sean Pertwee ,Hugh Skinner ,Lilly Wachowski ,Keanu Reeves ,Laurence Fishburne ,Carrie-Anne Moss ,Sarah Lind ,Josh Ruben ,Malin Barr ,Katie Kuang ,Natalie Portman ,Mila Kunis ,Vincent Cassel ,Winona Ryder ,Sigourney Weaver ,Michael Biehn ,Carrie Henn ,Paul Reiser ,Maika Monroe ,Karl Glusman ,Burn Gorman ,Tudor Petrut ,Leonardo DiCaprio ,Emily Mortimer ,Mark Ruffalo ,Ben Kingsley ,Bill Murray ,Dan Aykroyd ,Sigourney Weaver ,Harold Ramis ,Noomi Rapace ,Logan Marshall-Green ,Michael Fassbender ,Charlize Theron ,Daveigh Chase ,Suzanne Pleshette ,Miyu Irino ,Rumi Hiiragi ,","
Animation, Adventure, Family            ",8.6,761035,"
During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.",/title/tt0245429/,imdb.com/title/tt0245429/
